,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
952,10,2003,0.0,0.0,0.0,0.0,27.0,27.0,0,0,0,0
953,10,2004,0.0,0.0,0.0,0.0,14.0,14.0,0,0,0,0
954,10,2005,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0
955,10,2006,0.0,0.0,0.0,0.0,146.0,146.0,0,0,0,0
153,10,2007,0.0,0.0,2.0,0.0,223.0,225.0,0,0,1,0
154,10,2008,0.0,9.0,1.0,0.0,2292.0,2302.0,0,1,1,0
155,10,2009,0.0,0.0,0.0,0.0,21.0,21.0,0,0,0,0
156,10,2010,0.0,1.0,0.0,0.0,28.0,29.0,0,1,0,0
157,10,2011,3.0,0.0,0.0,0.0,1753.0,1756.0,1,0,0,0
158,10,2012,2.0,0.0,0.0,36.0,928.0,966.0,1,0,0,1
159,10,2013,0.0,0.0,0.0,11.0,2014.0,2025.0,0,0,0,1
160,10,2014,0.0,0.0,0.0,0.0,10.0,10.0,0,0,0,0
161,10,2015,3.0,0.0,0.0,0.0,69.0,72.0,1,0,0,0
162,10,2016,1.0,0.0,0.0,0.0,118.0,119.0,1,0,0,0
163,10,2017,0.0,0.0,0.0,0.0,91.0,91.0,0,0,0,0
164,10,2018,0.0,0.0,0.0,0.0,134.0,134.0,0,0,0,0
165,10,2019,0.0,0.0,0.0,0.0,157.0,157.0,0,0,0,0
166,10,2020,0.0,0.0,0.0,0.0,49.0,49.0,0,0,0,0
167,10,2021,0.0,0.0,0.0,0.0,20.0,20.0,0,0,0,0
168,10,2022,3.0,8.0,0.0,0.0,43.0,54.0,1,1,0,0
169,10,2023,108.0,24.0,0.0,0.0,298.0,430.0,1,1,0,0
956,11,2000,0.0,0.0,0.0,0.0,42.0,42.0,0,0,0,0
957,11,2001,0.0,0.0,0.0,0.0,406.0,406.0,0,0,0,0
958,11,2002,0.0,0.0,0.0,0.0,8624.0,8624.0,0,0,0,0
959,11,2003,0.0,0.0,0.0,0.0,27.0,27.0,0,0,0,0
960,11,2004,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
961,11,2005,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0
962,11,2006,0.0,0.0,0.0,0.0,139.0,139.0,0,0,0,0
170,11,2007,0.0,0.0,0.0,0.0,289.0,289.0,0,0,0,0
171,11,2008,0.0,14.0,2.0,1.0,2696.0,2713.0,0,1,1,1
172,11,2009,0.0,0.0,0.0,0.0,31.0,31.0,0,0,0,0
173,11,2010,0.0,0.0,0.0,0.0,25.0,25.0,0,0,0,0
174,11,2011,6.0,1.0,0.0,0.0,2900.0,2907.0,1,1,0,0
175,11,2012,1.0,0.0,0.0,34.0,1159.0,1194.0,1,0,0,1
176,11,2013,0.0,0.0,0.0,10.0,2734.0,2744.0,0,0,0,1
177,11,2014,0.0,0.0,0.0,0.0,16.0,16.0,0,0,0,0
178,11,2015,1.0,1.0,0.0,0.0,88.0,90.0,1,1,0,0
179,11,2016,2.0,0.0,0.0,0.0,120.0,122.0,1,0,0,0
180,11,2017,0.0,0.0,0.0,0.0,117.0,117.0,0,0,0,0
181,11,2018,0.0,0.0,0.0,0.0,126.0,126.0,0,0,0,0
182,11,2019,0.0,0.0,0.0,0.0,277.0,277.0,0,0,0,0
183,11,2020,1.0,0.0,0.0,0.0,37.0,38.0,1,0,0,0
184,11,2021,0.0,0.0,0.0,0.0,29.0,29.0,0,0,0,0
185,11,2022,0.0,8.0,0.0,0.0,56.0,64.0,0,1,0,0
186,11,2023,128.0,19.0,0.0,0.0,361.0,508.0,1,1,0,0
963,12,2000,0.0,0.0,0.0,0.0,55.0,55.0,0,0,0,0
964,12,2001,0.0,0.0,0.0,0.0,544.0,544.0,0,0,0,0
965,12,2002,0.0,0.0,0.0,0.0,5758.0,5758.0,0,0,0,0
966,12,2003,0.0,0.0,0.0,0.0,16.0,16.0,0,0,0,0
967,12,2004,0.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0
968,12,2005,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
969,12,2006,0.0,0.0,0.0,0.0,154.0,154.0,0,0,0,0
187,12,2007,0.0,0.0,0.0,0.0,297.0,297.0,0,0,0,0
188,12,2008,0.0,3.0,0.0,0.0,2504.0,2507.0,0,1,0,0
189,12,2009,0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,0
190,12,2010,0.0,0.0,0.0,0.0,40.0,40.0,0,0,0,0
191,12,2011,4.0,0.0,0.0,0.0,4579.0,4583.0,1,0,0,0
192,12,2012,2.0,0.0,0.0,30.0,1688.0,1720.0,1,0,0,1
193,12,2013,0.0,0.0,1.0,16.0,2811.0,2828.0,0,0,1,1
